사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤,행정동
6687179,2021028,3017011100,30170005,대전광역시 서구5,대전광역시 서구 갈마동(갈마네거리 부근),4,4,0,0,4,0,127.3687093,36.35277958,"{""type"":""Polygon"",""coordinates"":[[[127.37050588,36.35277958],[127.37047136,36.35249729],[127.37036912,36.35222584],[127.3702031,36.35197568],[127.36997966,36.3517564],[127.36970741,36.35157645],[127.36939679,36.35144274],[127.36905976,36.35136039],[127.36870925,36.35133259],[127.36835875,36.35136039],[127.36802171,36.35144274],[127.3677111,36.35157645],[127.36743884,36.3517564],[127.36721541,36.35197568],[127.36704938,36.35222584],[127.36694714,36.35249729],[127.36691262,36.35277958],[127.36694714,36.35306187],[127.36704938,36.35333331],[127.36721541,36.35358347],[127.36743884,36.35380274],[127.3677111,36.35398268],[127.36802171,36.3541164],[127.36835875,36.35419874],[127.36870925,36.35422654],[127.36905976,36.35419874],[127.36939679,36.3541164],[127.36970741,36.35398268],[127.36997966,36.35380274],[127.3702031,36.35358347],[127.37036912,36.35333331],[127.37047136,36.35306187],[127.37050588,36.35277958]]]}",갈마1동
6689595,2021028,3020011100,30200001,대전광역시 유성구1,대전광역시 유성구 봉명동(봉명어린이집 부근),4,4,0,0,4,0,127.3402874,36.35040444,"{""type"":""Polygon"",""coordinates"":[[[127.34208405,36.35040444],[127.34204953,36.35012214],[127.34194729,36.34985069],[127.34178126,36.34960052],[127.34155783,36.34938124],[127.34128557,36.34920128],[127.34097496,36.34906756],[127.34063792,36.34898521],[127.34028742,36.34895741],[127.33993691,36.34898521],[127.33959988,36.34906756],[127.33928926,36.34920128],[127.33901701,36.34938124],[127.33879357,36.34960052],[127.33862755,36.34985069],[127.33852531,36.35012214],[127.33849079,36.35040444],[127.33852531,36.35068674],[127.33862755,36.35095819],[127.33879357,36.35120836],[127.33901701,36.35142763],[127.33928926,36.35160759],[127.33959988,36.3517413],[127.33993691,36.35182364],[127.34028742,36.35185145],[127.34063792,36.35182364],[127.34097496,36.3517413],[127.34128557,36.35160759],[127.34155783,36.35142763],[127.34178126,36.35120836],[127.34194729,36.35095819],[127.34204953,36.35068674],[127.34208405,36.35040444]]]}",원신흥동
6805774,2022083,3011011700,30110001,대전광역시 동구1,대전광역시 동구 홍도동(용전네거리 부근),4,5,0,3,2,0,127.4316732,36.34752209,"{""type"":""Polygon"",""coordinates"":[[[127.43346984,36.34752209],[127.43343532,36.34723978],[127.43333308,36.34696832],[127.43316705,36.34671814],[127.43294362,36.34649885],[127.43267136,36.34631888],[127.43236075,36.34618516],[127.43202371,36.34610281],[127.43167321,36.346075],[127.4313227,36.34610281],[127.43098567,36.34618516],[127.43067505,36.34631888],[127.4304028,36.34649885],[127.43017937,36.34671814],[127.43001334,36.34696832],[127.4299111,36.34723978],[127.42987658,36.34752209],[127.4299111,36.3478044],[127.43001334,36.34807586],[127.43017937,36.34832604],[127.4304028,36.34854532],[127.43067505,36.34872528],[127.43098567,36.348859],[127.4313227,36.34894134],[127.43167321,36.34896915],[127.43202371,36.34894134],[127.43236075,36.348859],[127.43267136,36.34872528],[127.43294362,36.34854532],[127.43316705,36.34832604],[127.43333308,36.34807586],[127.43343532,36.3478044],[127.43346984,36.34752209]]]}",홍도동
6807081,2022083,3011010100,30110002,대전광역시 동구2,대전광역시 동구 원동(원동네거리 부근),4,4,0,2,2,0,127.4348416,36.32790799,"{""type"":""Polygon"",""coordinates"":[[[127.43663826,36.32790799],[127.43660374,36.32762561],[127.4365015,36.32735408],[127.43633547,36.32710384],[127.43611204,36.32688449],[127.43583978,36.32670448],[127.43552917,36.32657072],[127.43519213,36.32648836],[127.43484163,36.32646054],[127.43449112,36.32648836],[127.43415409,36.32657072],[127.43384347,36.32670448],[127.43357122,36.32688449],[127.43334779,36.32710384],[127.43318176,36.32735408],[127.43307952,36.32762561],[127.433045,36.32790799],[127.43307952,36.32819037],[127.43318176,36.3284619],[127.43334779,36.32871214],[127.43357122,36.32893148],[127.43384347,36.32911148],[127.43415409,36.32924524],[127.43449112,36.32932761],[127.43484163,36.32935542],[127.43519213,36.32932761],[127.43552917,36.32924524],[127.43583978,36.32911148],[127.43611204,36.32893148],[127.43633547,36.32871214],[127.4365015,36.3284619],[127.43660374,36.32819037],[127.43663826,36.32790799]]]}",중앙동
6805877,2022083,3011010200,30110003,대전광역시 동구3,대전광역시 동구 인동(인동네거리 부근),4,5,0,1,4,0,127.4377561,36.32202074,"{""type"":""Polygon"",""coordinates"":[[[127.43955272,36.32202074],[127.4395182,36.32173834],[127.43941596,36.32146679],[127.43924994,36.32121652],[127.4390265,36.32099716],[127.43875425,36.32081714],[127.43844363,36.32068337],[127.4381066,36.320601],[127.43775609,36.32057318],[127.43740559,36.320601],[127.43706855,36.32068337],[127.43675794,36.32081714],[127.43648568,36.32099716],[127.43626225,36.32121652],[127.43609622,36.32146679],[127.43599398,36.32173834],[127.43595946,36.32202074],[127.43599398,36.32230314],[127.43609622,36.32257469],[127.43626225,36.32282495],[127.43648568,36.3230443],[127.43675794,36.32322432],[127.43706855,36.32335809],[127.43740559,36.32344046],[127.43775609,36.32346827],[127.4381066,36.32344046],[127.43844363,36.32335809],[127.43875425,36.32322432],[127.4390265,36.3230443],[127.43924994,36.32282495],[127.43941596,36.32257469],[127.4395182,36.32230314],[127.43955272,36.32202074]]]}",신인동
6807083,2022083,3014011700,30140001,대전광역시 중구1,대전광역시 중구 산성동(산성네거리 부근),6,6,0,3,2,1,127.3860472,36.30323531,"{""type"":""Polygon"",""coordinates"":[[[127.38784384,36.30323531],[127.38780932,36.30295284],[127.38770708,36.30268122],[127.38754106,36.3024309],[127.38731762,36.30221149],[127.38704537,36.30203142],[127.38673475,36.30189762],[127.38639772,36.30181523],[127.38604721,36.3017874],[127.38569671,36.30181523],[127.38535967,36.30189762],[127.38504906,36.30203142],[127.3847768,36.30221149],[127.38455337,36.3024309],[127.38438734,36.30268122],[127.3842851,36.30295284],[127.38425058,36.30323531],[127.3842851,36.30351778],[127.38438734,36.3037894],[127.38455337,36.30403972],[127.3847768,36.30425912],[127.38504906,36.30443918],[127.38535967,36.30457298],[127.38569671,36.30465537],[127.38604721,36.30468319],[127.38639772,36.30465537],[127.38673475,36.30457298],[127.38704537,36.30443918],[127.38731762,36.30425912],[127.38754106,36.30403972],[127.38770708,36.3037894],[127.38780932,36.30351778],[127.38784384,36.30323531]]]}",산성동
6805745,2022083,3014011500,30140002,대전광역시 중구2,대전광역시 중구 유천동(유천예식장네거리 부근),6,6,0,1,4,1,127.3942242,36.31720294,"{""type"":""Polygon"",""coordinates"":[[[127.39602082,36.31720294],[127.3959863,36.31692052],[127.39588406,36.31664895],[127.39571803,36.31639867],[127.3954946,36.3161793],[127.39522234,36.31599926],[127.39491173,36.31586548],[127.3945747,36.3157831],[127.39422419,36.31575529],[127.39387369,36.3157831],[127.39353665,36.31586548],[127.39322604,36.31599926],[127.39295378,36.3161793],[127.39273035,36.31639867],[127.39256432,36.31664895],[127.39246208,36.31692052],[127.39242756,36.31720294],[127.39246208,36.31748536],[127.39256432,36.31775692],[127.39273035,36.3180072],[127.39295378,36.31822656],[127.39322604,36.31840659],[127.39353665,36.31854037],[127.39387369,36.31862274],[127.39422419,36.31865056],[127.3945747,36.31862274],[127.39491173,36.31854037],[127.39522234,36.31840659],[127.3954946,36.31822656],[127.39571803,36.3180072],[127.39588406,36.31775692],[127.3959863,36.31748536],[127.39602082,36.31720294]]]}",유천1동
6807082,2022083,3014010400,30140003,대전광역시 중구3,대전광역시 중구 중촌동(금성백조아파트 부근),5,5,0,3,2,0,127.4105224,36.34070517,"{""type"":""Polygon"",""coordinates"":[[[127.41231902,36.34070517],[127.4122845,36.34042283],[127.41218226,36.34015135],[127.41201623,36.33990114],[127.4117928,36.33968184],[127.41152054,36.33950186],[127.41120993,36.33936812],[127.41087289,36.33928576],[127.41052239,36.33925796],[127.41017188,36.33928576],[127.40983485,36.33936812],[127.40952423,36.33950186],[127.40925198,36.33968184],[127.40902854,36.33990114],[127.40886252,36.34015135],[127.40876028,36.34042283],[127.40872576,36.34070517],[127.40876028,36.3409875],[127.40886252,36.34125899],[127.40902854,36.34150918],[127.40925198,36.34172849],[127.40952423,36.34190846],[127.40983485,36.34204219],[127.41017188,36.34212455],[127.41052239,36.34215235],[127.41087289,36.34212455],[127.41120993,36.34204219],[127.41152054,36.34190846],[127.4117928,36.34172849],[127.41201623,36.34150918],[127.41218226,36.34125899],[127.4122845,36.3409875],[127.41231902,36.34070517]]]}",중촌동
6807084,2022083,3014010500,30140004,대전광역시 중구4,대전광역시 중구 대흥동(대흥동네거리 부근),4,4,0,0,3,1,127.4280176,36.32495781,"{""type"":""Polygon"",""coordinates"":[[[127.42981428,36.32495781],[127.42977976,36.32467542],[127.42967752,36.32440388],[127.42951149,36.32415363],[127.42928806,36.32393428],[127.4290158,36.32375426],[127.42870519,36.3236205],[127.42836815,36.32353812],[127.42801765,36.32351031],[127.42766714,36.32353812],[127.42733011,36.3236205],[127.42701949,36.32375426],[127.42674724,36.32393428],[127.42652381,36.32415363],[127.42635778,36.32440388],[127.42625554,36.32467542],[127.42622102,36.32495781],[127.42625554,36.32524021],[127.42635778,36.32551174],[127.42652381,36.32576199],[127.42674724,36.32598134],[127.42701949,36.32616135],[127.42733011,36.32629511],[127.42766714,36.32637748],[127.42801765,36.32640529],[127.42836815,36.32637748],[127.42870519,36.32629511],[127.4290158,36.32616135],[127.42928806,36.32598134],[127.42951149,36.32576199],[127.42967752,36.32551174],[127.42977976,36.32524021],[127.42981428,36.32495781]]]}",대흥동
6805881,2022083,3017011000,30170001,대전광역시 서구1,대전광역시 서구 내동(보라이삿짐.개인용달 부근),4,4,0,1,3,0,127.3820167,36.33058847,"{""type"":""Polygon"",""coordinates"":[[[127.38381332,36.33058847],[127.38377879,36.3303061],[127.38367656,36.33003458],[127.38351053,36.32978434],[127.3832871,36.32956501],[127.38301484,36.329385],[127.38270423,36.32925125],[127.38236719,36.32916888],[127.38201669,36.32914107],[127.38166618,36.32916888],[127.38132915,36.32925125],[127.38101853,36.329385],[127.38074628,36.32956501],[127.38052284,36.32978434],[127.38035682,36.33003458],[127.38025458,36.3303061],[127.38022006,36.33058847],[127.38025458,36.33087084],[127.38035682,36.33114236],[127.38052284,36.33139259],[127.38074628,36.33161192],[127.38101853,36.33179192],[127.38132915,36.33192567],[127.38166618,36.33200803],[127.38201669,36.33203585],[127.38236719,36.33200803],[127.38270423,36.33192567],[127.38301484,36.33179192],[127.3832871,36.33161192],[127.38351053,36.33139259],[127.38367656,36.33114236],[127.38377879,36.33087084],[127.38381332,36.33058847]]]}",내동
